Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
259.936895989	9.62465953827	1463.25305176	0	M+H	500.0	1.0	258.929619537
143.958768081	4.97043991089	7533.92626953	1	M+H	500.0	1.0	142.951491629
81.5161717091	18.8992996216	4501.95263672	2	M+H	500.0	1.0	80.5088952571
141.965929661	14.2601003647	1798.94140625	3	M+H	500.0	1.0	140.958653209
341.903848735	17.3528995514	2712.11230469	4	M+H	500.0	1.0	340.896572283
161.969205662	4.97043991089	6093.22998047	5	M+H	500.0	1.0	160.96192921
428.835016737	8.07695960999	3682.60449219	6	M+H	500.0	1.0	427.827740285
84.0939988035	18.8992996216	7895.83935547	7	M+H	500.0	1.0	83.0867223515
110.541315977	23.563999176	2200.52783203	8	M+H	500.0	1.0	109.534039525
403.897893142	26.6713008881	5669.16601562	9	M+H	500.0	1.0	402.89061669
293.970222985	28.2252006531	2633.30249023	10	M+H	500.0	1.0	292.962946533
106.007821564	37.5625991821	2097.31542969	11	M+H	500.0	1.0	105.000545112
169.085679848	45.3082008362	1251.05310059	12	M+H	500.0	1.0	168.078403396
284.928241727	39.1114006042	5052.21582031	13	M+H	500.0	1.0	283.920965275
186.98061561	6.52097988129	22815.7578125	14	M+H	500.0	1.0	185.973339158
434.852916888	48.426399231	4640.84667969	15	M+H	500.0	1.0	433.845640436
241.963741785	49.9958000183	3652.51293945	16	M+H	500	1.0	240.956465333
90.5294320811	51.5612983704	1470.95373535	17	M+H	500.0	1.0	89.5221556291
126.004646503	53.1259994507	1613.20446777	18	M+H	500.0	1.0	124.997370051
180.135443835	56.2228012085	2982.40673828	19	M+H	500.0	1.0	179.128167383
262.94631662	57.7542991638	1914.03491211	20	M+H	500.0	1.0	261.939040168
270.953515432	57.7542991638	1415.57556152	21	M+H	500.0	1.0	269.94623898
99.0333780209	60.8334007263	1663.37219238	22	M+H	500.0	1.0	98.026101569
236.906397873	20.4624996185	15331.6611328	23	M+H	500.0	1.0	235.899121421
236.906505312	37.5625991821	13449.3085938	24	M+H	500.0	1.0	235.89922886
396.883636737	57.7542991638	2060.30883789	25	M+H	500.0	1.0	395.876360285
100.509955649	6.52097988129	7464.52001953	26	M+H	500.0	1.0	99.5026791974
112.050940897	63.9431991577	2224.20214844	27	M+H	500.0	1.0	111.043664445
201.995517863	68.6039962769	2533.10058594	28	M+H	500.0	1.0	200.988241411
217.106928048	20.4624996185	10289.3125	29	M+H	500.0	1.0	216.099651596
351.896328772	76.3175964355	1666.07910156	30	M+H	500.0	1.0	350.88905232
75.0439881209	73.240196228	1737.71618652	31	M+H	500.0	1.0	74.0367116689
462.844835336	74.7816009521	4214.33056641	32	M+H	500.0	1.0	461.837558884
99.5310866588	18.8992996216	4805.01660156	33	M+H	500.0	1.0	98.5238102068
99.5310753387	71.6874008179	4229.50048828	34	M+H	500.0	1.0	98.5237988867
99.5311015498	46.8629989624	3933.7421875	35	M+H	500.0	1.0	98.5238250978
99.5311086788	60.8334007263	3069.23266602	36	M+H	500.0	1.0	98.5238322268
104.523208129	23.563999176	8418.09277344	37	M+H	500.0	1.0	103.515931677
104.52319497	53.1259994507	6627.64404297	699	M+ACN+2H	388	0.776	166.005287933
123.9641949	28.2252006531	9532.97363281	39	M+H	500.0	1.0	122.956918448
183.988094883	20.4624996185	19163.6523438	40	M+H	500.0	1.0	182.980818431
183.988076252	28.2252006531	15866.4882812	41	M+H	500	1.0	182.9807998
87.0039362848	6.52097988129	7332.13085938	42	M+H	500.0	1.0	85.9966598328
87.0039299268	29.789100647	8424.06640625	43	M+H	500.0	1.0	85.9966534748
129.019822039	36.0097007751	6657.34960938	44	M+H	500.0	1.0	128.012545587
276.998446172	79.3937988281	2040.95935059	45	M+H	500.0	1.0	275.99116972
129.051965034	56.2228012085	22173.2128906	46	M+H	500.0	1.0	128.044688582
129.051968301	28.2252006531	19541.4902344	47	M+H	500.0	1.0	128.044691849
130.016587172	73.240196228	7418.78173828	48	M+H	500.0	1.0	129.00931072
130.016547028	22.0235996246	6624.35449219	49	M+H	500.0	1.0	129.009270576
77.9987527783	25.1161994934	16963.0292969	50	M+H	500.0	1.0	76.9914763263
87.0803057494	45.3082008362	12431.0849609	51	M+H	500.0	1.0	86.0730292974
87.0803209832	25.1161994934	12934.0234375	52	M+H	500.0	1.0	86.0730445312
102.970034156	49.9958000183	13143.2832031	53	M+H	500.0	1.0	101.962757704
166.973812729	79.3937988281	1809.37023926	54	M+H	500.0	1.0	165.966536277
170.957323775	56.2228012085	13140.3896484	55	M+H	500.0	1.0	169.950047323
79.0178529647	25.1161994934	75019.9609375	56	M+H	500.0	1.0	78.0105765127
79.0178502855	42.2123985291	65630.984375	57	M+H	500.0	1.0	78.0105738335
99.512161679	6.52097988129	21484.3300781	58	M+H	500.0	1.0	98.5048852271
162.070147407	42.2123985291	7037.90380859	59	M+H	500.0	1.0	161.062870955
83.5359735613	43.7631988525	10062.2705078	60	M+H	500.0	1.0	82.5286971093
83.5359765419	60.8334007263	10954.1152344	61	M+H	500.0	1.0	82.5287000899
94.0377405658	90.06300354	2111.81713867	62	M+H	500.0	1.0	93.0304641138
110.008606345	26.6713008881	29332.1328125	63	M+H	500.0	1.0	109.001329893
122.531972823	91.5821990967	1842.8404541	64	M+H	500.0	1.0	121.524696371
130.798903073	85.4922027588	1455.64611816	65	M+H	500.0	1.0	129.791626621
82.0137768036	8.07695960999	9025.85546875	66	M+H	500.0	1.0	81.0065003516
82.0137603814	60.8334007263	8685.52441406	67	M+H	500.0	1.0	81.0064839294
143.996650476	67.0410003662	162469.75	68	M+H	500.0	1.0	142.989374025
143.996646848	18.8992996216	151714.3125	69	M+H	500.0	1.0	142.989370396
171.991385161	56.2228012085	52963.9414062	70	M+H	500.0	1.0	170.984108709
171.991397994	31.3565006256	48738.0585938	71	M+H	500.0	1.0	170.984121542
204.956661327	63.9431991577	18478.9667969	72	M+H	500.0	1.0	203.949384875
204.956641583	37.5625991821	12986.6523438	73	M+H	500.0	1.0	203.949365131
204.956678881	73.240196228	15329.9638672	74	M+H	500	1.0	203.949402429
341.265826271	93.0960006714	5771.30419922	75	M+H	500.0	1.0	340.258549819
379.130263576	94.6187973022	1602.81652832	76	M+H	500.0	1.0	378.122987124
468.389280791	91.5821990967	4135.83398438	77	M+H	500.0	1.0	467.382004339
70.0126518493	29.789100647	138073.921875	78	M+H	500.0	1.0	69.0053753973
83.0375333063	51.5612983704	8918.0703125	79	M+H	500.0	1.0	82.0302568543
83.0375362676	22.0235996246	9896.41113281	80	M+H	500.0	1.0	82.0302598156
91.0274214648	40.6645011902	20178.0078125	81	M+H	500.0	1.0	90.0201450128
239.161340523	39.1114006042	22589.8671875	82	M+H	500.0	1.0	238.154064071
239.16133683	71.6874008179	22978.953125	83	M+H	500.0	1.0	238.154060378
284.294546917	94.6187973022	3965.54272461	84	M+H	500.0	1.0	283.287270465
297.973765453	91.5821990967	2609.94311523	85	M+H	500.0	1.0	296.966489001
94.0388763973	85.4922027588	2929.25292969	86	M+H	500.0	1.0	93.0315999453
209.042364352	93.0960006714	5505.24755859	87	M+H	495	0.99	208.0350879
261.960715091	82.4568023682	7374.11621094	88	M+H	500.0	1.0	260.953438639
278.208510276	90.06300354	3852.64770508	89	M+H	500.0	1.0	277.201233824
333.299553111	88.5306015015	4152.53320312	90	M+H	500.0	1.0	332.292276659
82.0222394148	22.0235996246	53453.8789062	91	M+H	500.0	1.0	81.0149629628
82.0222426795	74.7816009521	51413.0429688	92	M+H	500.0	1.0	81.0149662275
101.052923633	83.9736022949	3464.31738281	93	M+H	500.0	1.0	100.045647181
111.549181084	11.1639003754	13296.3447266	94	M+H	500.0	1.0	110.541904632
111.549173957	74.7816009521	13080.5380859	95	M+H	500.0	1.0	110.541897505
111.549163559	45.3082008362	13572.9082031	96	M+H	500.0	1.0	110.541887107
122.551905916	93.0960006714	3641.1105957	97	M+H	500.0	1.0	121.544629464
128.019039138	46.8629989624	54310.3125	98	M+H	500.0	1.0	127.011762686
128.0190463	18.8992996216	56024.28125	99	M+H	500.0	1.0	127.011769848
228.231725521	88.5306015015	2801.62475586	100	M+H	500.0	1.0	227.224449069
