Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
122.09617551	2.97653007507	3000.85742188	0	M+H	500.0	1.0	121.088899058
159.137550649	1.54375994205	6364.45068359	1	M+H	500.0	1.0	158.130274197
204.114347306	1.54375994205	5818.83837891	2	M+H	500.0	1.0	203.107070854
285.277839918	1.54375994205	5325.8125	3	M+H	500.0	1.0	284.270563466
84.163696505	2.97653007507	6723.10595703	4	M+H	500.0	1.0	83.156420053
85.1198493945	4.4220700264	4634.14697266	5	M+H	500.0	1.0	84.1125729425
90.006893041	4.4220700264	16420.7382812	6	M+H	500.0	1.0	88.999616589
168.919163898	4.4220700264	4899.51660156	7	M+H	500.0	1.0	167.911887446
174.998499783	4.4220700264	10050.0761719	246	M+2H	497	0.994	347.982446661
84.0964063177	4.4220700264	15583.5224609	9	M+H	500.0	1.0	83.0891298657
102.079103831	7.3471198082	7941.84960938	10	M+H	500.0	1.0	101.071827379
209.11428918	7.3471198082	7339.79833984	11	M+H	500.0	1.0	208.107012728
237.145342293	4.4220700264	5047.79638672	12	M+H	500.0	1.0	236.138065841
181.987834163	2.97653007507	14797.1054688	13	M+H	500.0	1.0	180.980557711
200.995034348	5.88184976578	8035.16699219	115	M+ACN+H	499	0.998	158.961208793
225.005711934	1.54375994205	11846.546875	15	M+H	500.0	1.0	223.998435482
103.088063103	2.97653007507	8992.91992188	16	M+H	500.0	1.0	102.080786651
154.485269926	4.4220700264	13191.25	40	M+2Na-H	500	1.0	109.514104218
157.97367299	8.81604003906	4071.86083984	18	M+H	500.0	1.0	156.966396538
209.945403837	5.88184976578	10683.4716797	19	M+H	500.0	1.0	208.938127385
309.20299635	1.54375994205	42834.6914062	20	M+H	500.0	1.0	308.195719898
352.98354369	5.88184976578	17548.2851562	21	M+H	500.0	1.0	351.976267238
372.065599006	1.54375994205	27136.1464844	22	M+H	500.0	1.0	371.058322554
152.997002251	4.4220700264	11610.9560547	23	M+H	500.0	1.0	151.989725799
195.993124637	2.97653007507	13766.7744141	24	M+H	500.0	1.0	194.985848185
414.076310453	5.88184976578	9382.7265625	25	M+H	500.0	1.0	413.069034001
116.523901625	4.4220700264	25299.1972656	26	M+H	500.0	1.0	115.516625173
157.133258436	1.54375994205	5978.97998047	1224	M+ACN+H	500	1.0	115.099432881
169.093187292	1.54375994205	13804.4267578	28	M+H	500.0	1.0	168.08591084
283.148353662	1.54375994205	6907.22558594	29	M+H	500.0	1.0	282.14107721
140.961303599	4.4220700264	6237.28857422	30	M+H	500.0	1.0	139.954027147
195.087257101	8.81604003906	15396.8818359	31	M+H	500.0	1.0	194.079980649
89.0081625667	4.4220700264	28271.3984375	32	M+H	500.0	1.0	88.0008861147
85.0859225198	11.758099556	4737.08984375	33	M+H	498	0.996	84.0786460678
125.002272703	17.6749000549	4925.23242188	34	M+H	500.0	1.0	123.994996251
374.062182663	1.54375994205	26420.5039062	35	M+H	500.0	1.0	373.054906211
85.0644862481	11.758099556	11514.1582031	36	M+H	500.0	1.0	84.0572097961
199.093360622	8.81604003906	5318.20458984	37	M+H	500.0	1.0	198.08608417
236.07370003	7.3471198082	10787.0644531	125	M+NH4	500	1.0	218.039874475
103.038679212	14.7006998062	10753.8837891	39	M+H	500.0	1.0	102.03140276
110.521471522	2.97653007507	63807.4726562	40	M+H	500.0	1.0	109.51419507
125.070744681	16.1837005615	4667.67236328	41	M+H	500.0	1.0	124.063468229
88.023161526	14.7006998062	7345.9765625	42	M+H	500.0	1.0	87.015885074
177.054294979	1.54375994205	25885.8105469	43	M+H	500.0	1.0	176.047018527
80.0490534331	22.1639003754	2208.91772461	44	M+H	500.0	1.0	79.0417769811
172.018042352	19.1644992828	3499.01318359	45	M+H	500.0	1.0	171.0107659
84.0223286796	13.2294998169	3962.1418457	46	M+H	500.0	1.0	83.0150522276
84.0224979198	17.6749000549	3605.19189453	46	M+H	430	0.86	83.0152214678
84.0351122709	5.88184976578	5590.3671875	48	M+H	500.0	1.0	83.027835819
83.9835776491	25.1942005157	2173.83032227	49	M+H	500.0	1.0	82.9763011971
240.091745487	4.4220700264	6424.68896484	364	M+HC13	500	1.0	238.081119035
102.044051787	17.6749000549	5825.99462891	51	M+H	500.0	1.0	101.036775335
105.00300928	4.4220700264	11176.171875	52	M+H	500.0	1.0	103.995732828
223.111303608	1.54375994205	20820.4316406	53	M+H	500.0	1.0	222.104027156
271.915828917	2.97653007507	19881.2949219	54	M+H	500.0	1.0	270.908552465
195.122437433	22.1639003754	3915.12792969	55	M+H	500.0	1.0	194.115160981
239.142444974	1.54375994205	21732.9570312	56	M+H	500.0	1.0	238.135168522
93.0151734541	23.6833000183	3787.49169922	241	M+ACN+2H	428	0.856	142.989244901
234.057971203	23.6833000183	2501.21582031	58	M+H	500.0	1.0	233.050694751
245.077915126	1.54375994205	12068.7128906	59	M+H	500.0	1.0	244.070638674
70.4475198241	2.97653007507	4664.14648438	60	M+H	500.0	1.0	69.4402433721
109.022225097	4.4220700264	53571.1132812	61	M+H	500.0	1.0	108.014948645
84.0374868041	16.1837005615	5471.18847656	62	M+H	500.0	1.0	83.0302103521
84.0371648864	2.97653007507	6280.1484375	63	M+H	500.0	1.0	83.0298884344
84.0374918794	34.2727012634	5773.20068359	64	M+H	500.0	1.0	83.0302154275
139.962953726	4.4220700264	11786.5976562	65	M+H	500.0	1.0	138.955677274
197.040460686	37.3166007996	2594.28393555	66	M+H	500.0	1.0	196.033184234
84.0690158759	16.1837005615	20759.2695312	67	M+H	500.0	1.0	83.0617394239
208.984289738	34.2727012634	2723.55151367	68	M+H	500.0	1.0	207.977013286
83.9931019769	34.2727012634	2459.84472656	69	M+H	500.0	1.0	82.9858255249
90.0082512544	2.97653007507	49085.0546875	70	M+H	500.0	1.0	89.0009748024
193.130751405	4.4220700264	23389.40625	71	M+H	500.0	1.0	192.123474953
103.560330881	41.9440002441	2765.95141602	72	M+H	500.0	1.0	102.553054429
217.031504649	43.4677009583	3895.49169922	73	M+H	500.0	1.0	216.024228197
75.0322029558	44.9998016357	2292.69677734	142	M+H+Na	499	0.998	126.06790838
202.979421122	7.3471198082	11977.5878906	75	M+H	500.0	1.0	201.97214467
183.988029593	2.97653007507	25935.1523438	673	M+HC13	500	1.0	181.977403141
84.027341909	37.3166007996	3781.93945312	77	M+H	500.0	1.0	83.0200654571
84.0332588515	19.1644992828	4825.12255859	78	M+H	500.0	1.0	83.0259823995
84.0581671566	4.4220700264	12514.125	79	M+H	500.0	1.0	83.0508907046
84.0581708588	25.1942005157	9662.16210938	80	M+H	500.0	1.0	83.0508944068
84.0581730478	41.9440002441	9256.85058594	81	M+H	500.0	1.0	83.0508965959
84.0705667602	5.88184976578	24889.109375	82	M+H	500.0	1.0	83.0632903082
84.0705728853	25.1942005157	22082.734375	83	M+H	500.0	1.0	83.0632964334
84.0705725017	41.9440002441	19666.6894531	84	M+H	500.0	1.0	83.0632960497
84.0979739874	41.9440002441	10910.84375	85	M+H	500.0	1.0	83.0906975354
83.9775209137	46.5288009644	1772.41442871	86	M+H	500.0	1.0	82.9702444617
84.0400599683	4.4220700264	5796.98925781	87	M+H	500.0	1.0	83.0327835163
84.0400758804	25.1942005157	5345.90234375	88	M+H	500.0	1.0	83.0327994284
84.0400810024	44.9998016357	4663.73339844	89	M+H	500.0	1.0	83.0328045504
84.0504031688	4.4220700264	7599.90332031	90	M+H	500.0	1.0	83.0431267168
84.0502973087	34.2727012634	6254.61230469	91	M+H	483	0.966	83.0430208567
84.0504097759	28.2140007019	6967.60791016	92	M+H	500.0	1.0	83.0431333239
258.966642457	51.117401123	2685.21850586	93	M+H	500.0	1.0	257.959366005
85.0798934444	51.117401123	3007.00561523	94	M+H	500.0	1.0	84.0726169924
217.106873947	35.7907981873	17122.6914062	95	M+H	500.0	1.0	216.099597495
84.0035457592	52.6581993103	2484.4152832	96	M+H	500.0	1.0	82.9962693072
81.5481392404	57.3186988831	1519.76184082	97	M+H	500.0	1.0	80.5408627884
84.0483459237	49.5979995728	4953.17089844	98	M+H	500.0	1.0	83.0410694717
84.0483172225	4.4220700264	6264.94287109	99	M+H	500.0	1.0	83.0410407705
81.5568944056	57.3186988831	1578.97009277	100	M+H	500.0	1.0	80.5496179536
156.013746502	23.6833000183	7990.09375	101	M+H	500.0	1.0	155.00647005
156.013746717	49.5979995728	6250.11132812	102	M+H	500.0	1.0	155.006470265
91.5237897028	58.8708992004	3556.03588867	103	M+H	500.0	1.0	90.5165132508
125.992093744	65.0790023804	1653.98425293	104	M+H	500.0	1.0	124.984817292
