Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
84.0335845629	7.27271986008	5964.94042969	0	M+H	500.0	1.0	83.0263081109
102.063509936	7.27271986008	17238.3554688	1	M+H	500.0	1.0	101.056233484
116.523898342	1.53644001484	31312.2695312	2	M+H	500.0	1.0	115.51662189
155.973849229	2.95996999741	4305.36962891	3	M+H	500.0	1.0	154.966572777
209.113844082	1.53644001484	8879.078125	4	M+H	500.0	1.0	208.10656763
324.216443835	1.53644001484	15358.7890625	5	M+H	500.0	1.0	323.209167383
376.059757026	1.53644001484	11999.8857422	6	M+H	500.0	1.0	375.052480574
229.215793628	1.53644001484	7283.66162109	7	M+H	500.0	1.0	228.208517176
283.148247647	1.53644001484	8934.66992188	8	M+H	500.0	1.0	282.140971195
284.960306171	4.39349985123	5233.3671875	9	M+H	500.0	1.0	283.953029719
332.004949869	4.39349985123	19649.6210938	10	M+H	500.0	1.0	330.997673417
84.0945515354	5.83053016663	56479.453125	11	M+H	500.0	1.0	83.0872750834
142.958649478	4.39349985123	7120.38671875	12	M+H	500.0	1.0	141.951373026
197.000475428	2.95996999741	9640.96289062	13	M+H	500.0	1.0	195.993198976
224.007224293	1.53644001484	16602.4375	14	M+H	500.0	1.0	222.999947841
241.028618076	5.83053016663	8842.97460938	119	M+Na	500	1.0	218.039396995
157.133212908	7.27271986008	5887.52832031	3964	M+2ACN+H	499	0.998	74.0728382496
236.073718832	2.95996999741	14636.2373047	119	M+NH4	492	0.984	218.039893277
149.095942451	10.1607999802	4051.78955078	18	M+H	500.0	1.0	148.088665999
155.15377318	7.27271986008	3561.23950195	19	M+H	500.0	1.0	154.146496728
201.072775447	8.71319961548	5817.16357422	20	M+H	500.0	1.0	200.065498995
243.119804673	5.83053016663	7234.59619141	21	M+H	500.0	1.0	242.112528221
255.267494354	1.53644001484	6805.32763672	22	M+H	500.0	1.0	254.260217902
374.062477667	1.53644001484	30985.5332031	23	M+H	500.0	1.0	373.055201215
84.0467182914	5.83053016663	8773.3203125	24	M+H	500.0	1.0	83.0394418395
