Standard,Name,Formula,Mass, ,Transforms
StdMix2_1, Hypoxanthine, C5H4N4O,136.03851077162, ,M+K,2,0.1,M+H,13,0.65,M+ACN+H,1,0.05,M+HC13,2,0.1,M+ACN+Na,1,0.05,M+Na,1,0.05
StdMix2_10, Nicotinamide, C6H6N2O,122.04801282542, ,M+ACN+H,3,0.025423728813559324,M+HC13,5,0.0423728813559322,M+H2C13,2,0.01694915254237288,M+H,108,0.9152542372881356
StdMix2_11, 5-Oxoproline, C5H7NO3,129.04259309652, ,M+ACN+H,3,0.07142857142857142,M+HC13,6,0.14285714285714285,M+NH4,2,0.047619047619047616,M+2Na-H,1,0.023809523809523808,M+H,30,0.7142857142857143
StdMix2_12, 5'-Methylthioadenosine, C11H15N5O3S,297.0895600646, ,M+HC13,2,0.2857142857142857,M+H2C13,1,0.14285714285714285,M+Na,1,0.14285714285714285,M+H,3,0.42857142857142855
StdMix2_13, Deoxyadenosine, C10H13N5O3,251.10183931032, ,M+HC13,3,0.23076923076923078,M+H2C13,2,0.15384615384615385,M+H,8,0.6153846153846154
StdMix2_14, 5-Methoxytryptamine, C11H14N2O,190.11061308254, ,M+HC13,3,0.1875,M+H2C13,1,0.0625,M+CH3OH+H,1,0.0625,M+H,11,0.6875
StdMix2_15, L-Kynurenine, C10H12N2O3,208.08479226245998, ,M+2Na-H,2,0.15384615384615385,M+HC13,3,0.23076923076923078,M+Na,1,0.07692307692307693,M+H,7,0.5384615384615384
StdMix2_16, Adenosine, C10H13N5O4,267.09675393242003, ,M+HC13,2,0.2,M+H,8,0.8
StdMix2_17, Guanosine, C10H13N5O5,283.09166855452, ,M+HC13,2,0.2857142857142857,M+Na,2,0.2857142857142857,M+H,3,0.42857142857142855
StdMix2_18, 6-Methylaminopurine, C6H7N5,149.07014525118, ,M+ACN+H,1,0.03571428571428571,M+HC13,2,0.07142857142857142,M+H2C13,2,0.07142857142857142,M+H,23,0.8214285714285714
StdMix2_19, L-isoleucine, C6H13NO2,131.09462866726, ,M+ACN+H,2,0.08,M+HC13,4,0.16,M+ACN+Na,1,0.04,M+H,18,0.72
StdMix2_2, Picolinic acid, C6H5NO2,123.03202841013999, ,M+HC13,1,0.14285714285714285,M+H,6,0.8571428571428571
StdMix2_20, Pyridoxal, C8H9NO3,167.0582431608, ,M+HC13,2,0.1,M+Na,1,0.05,M+2ACN+H,1,0.05,M+NH4,1,0.05,M+H,15,0.75
StdMix2_21, L-Tyrosine, C9H11NO3,181.07389322507998, ,M+HC13,2,0.15384615384615385,M+H2C13,1,0.07692307692307693,M+H,10,0.7692307692307693
StdMix2_22, Methylcysteine, C4H9NO2S,135.0353992287, ,M+ACN+H,2,0.13333333333333333,M+HC13,1,0.06666666666666667,M+H,12,0.8
StdMix2_23, 4-Trimethylammoniobutanoate, C7H15NO2,145.11027873154, ,M+HC13,7,0.2916666666666667,M+Na,1,0.041666666666666664,M+H,16,0.6666666666666666
StdMix2_24, Betaine, C5H11NO2,117.07897860297999, ,M+HC13,3,0.15789473684210525,M+H,16,0.8421052631578947
StdMix2_25, L-2-Aminoadipate, C6H11NO4,161.06880784717998, ,M+2Na-H,1,0.04,M+HC13,2,0.08,M+H,22,0.88
StdMix2_26, 4-(beta-Acetylaminoethyl)imidazole, C7H11N3O,153.09021199135998, ,M+HC13,3,0.15789473684210525,M+H2C13,1,0.05263157894736842,M+Na,1,0.05263157894736842,M+2H,1,0.05263157894736842,M+H,13,0.6842105263157895
StdMix2_27, Methylguanidine, C2H7N3,73.06399724069999, ,M+HC13,2,0.06666666666666667,M+H,28,0.9333333333333333
StdMix2_28, 1-Aminocyclopropane-1-carboxylate, C4H7NO2,101.04767847442, ,M+ACN+H,2,0.008888888888888889,M+HC13,3,0.013333333333333334,M+ACN+2H,1,0.0044444444444444444,M+2ACN+H,1,0.0044444444444444444,M+H,218,0.9688888888888889
StdMix2_29, L-Carnitine, C7H15NO3,161.10519335364, ,M+HC13,8,0.2222222222222222,M+Na,3,0.08333333333333333,M+H,25,0.6944444444444444
StdMix2_3, Menadione, C11H8O2,172.05242950132, ,M+H,4,1.0
StdMix2_30, L-Alanine, C3H7NO2,89.04767847442, ,M+ACN+H,1,0.058823529411764705,M+HC13,3,0.17647058823529413,M+H,13,0.7647058823529411
StdMix2_31, dAMP, C10H14N5O6P,331.06816972076, ,M+2Na-H,1,0.125,M+HC13,2,0.25,M+Na,2,0.25,M+NaC13,1,0.125,M+H,2,0.25
StdMix2_32, 4-Aminobutanoate, C4H9NO2,103.06332853869999, ,M+HC13,4,0.15384615384615385,M+H,22,0.8461538461538461
StdMix2_33, L-homoserine, C4H9NO3,119.0582431608, ,M+2Na-H,1,0.1111111111111111,M+HC13,2,0.2222222222222222,M+H,6,0.6666666666666666
StdMix2_34, Choline, C5H13NO,103.09971404516, ,M+HC13,2,0.11764705882352941,M+H,15,0.8823529411764706
StdMix2_35, AMP, C10H14N5O7P,347.06308434286, ,M+2Na-H,2,0.14285714285714285,M+Na,2,0.14285714285714285,M+HC13,3,0.21428571428571427,M+H,7,0.5
StdMix2_36, cytosine, C4H5N3O,111.04326179851999, ,M+2Na-H,1,0.07692307692307693,M+HC13,2,0.15384615384615385,M+Na,2,0.15384615384615385,M+H,8,0.6153846153846154
StdMix2_37, N-Acetylornithine, C7H14N2O3,174.10044232674, ,M+2Na-H,1,0.06666666666666667,M+HC13,1,0.06666666666666667,M+Na,3,0.2,M+H,10,0.6666666666666666
StdMix2_38, dCMP, C9H14N3O7P,307.05693633238, ,M+2Na-H,1,0.1111111111111111,M+Na,3,0.3333333333333333,M+H,5,0.5555555555555556
StdMix2_39, 1-Aminopropan-2-ol, C3H9NO,75.06841391660001, ,M+HC13,3,0.024390243902439025,M+H,120,0.975609756097561
StdMix2_4, Phenol, C6H6O,94.04186481494, ,M+H2C13,1,0.008403361344537815,M+H,118,0.9915966386554622
StdMix2_40, Ala-Gly, C5H10N2O3,146.06914219818, ,M+2Na-H,1,0.16666666666666666,M+HC13,2,0.3333333333333333,M+H,3,0.5
StdMix2_41, NAD+, C21H27N7O14P2,663.10912163786, ,M+HC13,1,0.5,M+H,1,0.5
StdMix2_42, Glycylglycine, C4H8N2O3,132.0534921339, ,M+ACN+H,2,0.2222222222222222,M+HC13,2,0.2222222222222222,M+H,4,0.4444444444444444,M+2Na-H,1,0.1111111111111111
StdMix2_43, S-Adenosyl-L-homocysteine, C14H20N6O5S,384.12158847474, ,M+2Na-H,1,0.14285714285714285,M+Na,1,0.14285714285714285,M+ACN+2H,2,0.2857142857142857,M+H,3,0.42857142857142855
StdMix2_44, Choline phosphate, C5H14NO4P,183.0660444556, ,M+2Na-H,1,0.0625,M+K,1,0.0625,M+H,8,0.5,M+NaC13,1,0.0625,M+HC13,2,0.125,M+ACN+Na,1,0.0625,M+Na,2,0.125
StdMix2_45, D-Glucosamine 6-phosphate, C6H14NO8P,259.04570294399997, ,M+HC13,1,0.25,M+Na,1,0.25,M+H,2,0.5
StdMix2_46, L-Cystathionine, C7H14N2O4S,222.06742763884, ,M+ACN+2H,2,0.16666666666666666,M+2Na-H,1,0.08333333333333333,M+2H,2,0.16666666666666666,M+H,4,0.3333333333333333,M+NaC13,1,0.08333333333333333,M+HC13,1,0.08333333333333333,M+Na,1,0.08333333333333333
StdMix2_47, HEPES, C8H18N2O4S,238.0987277674, ,M+2Na-H,3,0.08108108108108109,M+K,6,0.16216216216216217,M+H,13,0.35135135135135137,M+NaC13,4,0.10810810810810811,M+HC13,6,0.16216216216216217,M+ACN+Na,1,0.02702702702702703,M+Na,4,0.10810810810810811
StdMix2_48, Eflornithine, C6H12F2N2O2,182.08668405036, ,M+2Na-H,2,0.13333333333333333,M+Na,2,0.13333333333333333,M+HC13,1,0.06666666666666667,M+H,10,0.6666666666666666
StdMix2_49, N(pi)-Methyl-L-histidine, C7H11N3O2,169.08512661345998, ,M+2Na-H,2,0.06060606060606061,M+HC13,2,0.06060606060606061,M+H,29,0.8787878787878788
StdMix2_5, Thiopurine S-methylether, C6H6N4S,166.03131690380002, ,M+ACN+H,1,0.030303030303030304,M+HC13,2,0.06060606060606061,M+H2C13,1,0.030303030303030304,M+DMSO+H,1,0.030303030303030304,M+H,28,0.8484848484848485
StdMix2_50, L-2_3-Diaminopropanoate, C3H8N2O2,104.0585775118, ,M+2Na-H,1,0.125,M+H,7,0.875
StdMix2_51, L-Ornithine, C5H12N2O2,132.08987764036002, ,M+2Na-H,1,0.038461538461538464,M+HC13,5,0.19230769230769232,M+Na,2,0.07692307692307693,M+2ACN+H,1,0.038461538461538464,M+H,17,0.6538461538461539
StdMix2_52, Trypanothione disulfide, C27H47N9O10S2,721.28873015874, ,M+H,1,1.0
StdMix2_53, agmatine, C5H14N4,130.12184647092, ,M+HC13,1,0.16666666666666666,M+ACN+2H,1,0.16666666666666666,M+H,4,0.6666666666666666
StdMix2_54, 1_3-Diaminopropane, C3H10N2,74.08439833188, ,M+HC13,24,0.19047619047619047,M+H,102,0.8095238095238095
StdMix2_55, Dopamine, C8H11NO2,153.07897860298, ,M+H,13,1.0
StdMix2_56, FAD, C27H33N9O15P2,785.15713446328, 
StdMix2_57, Spermine, C10H26N4,202.21574685660002, ,M+H,2,1.0
StdMix2_58, Lipoate, C8H14O2S2,206.04352107416, ,M+H,8,1.0
StdMix2_59, Phenylacetylglycine, C10H11NO3,193.07389322507998, ,M+2Na-H,2,0.1,M+HC13,5,0.25,M+H2C13,1,0.05,M+Na,1,0.05,M+H,11,0.55
StdMix2_6, Biotin, C10H16N2O3S,244.08816308101999, ,M+K,2,0.07692307692307693,M+H,13,0.5,M+NaC13,2,0.07692307692307693,M+HC13,4,0.15384615384615385,M+ACN+Na,2,0.07692307692307693,M+Na,3,0.11538461538461539
StdMix2_60, Phenylpyruvate, C9H8O3,164.04734412342, ,M+HC13,2,0.2857142857142857,M+H,5,0.7142857142857143
StdMix2_61, Mesaconate, C5H6O4,130.02660868124, ,M+HC13,1,0.1,M+H,9,0.9
StdMix2_62, succinate semialdehyde, C4H6O3,102.03169405914, ,M+H,27,1.0
StdMix2_63, 3-(4-Hydroxyphenyl)pyruvate, C9H8O4,180.04225874552, ,M+H,3,1.0
StdMix2_64, Succinate, C4H6O4,118.02660868123999, ,M+H,5,1.0
StdMix2_65, Taurocholate, C26H45NO7S,515.29167349624, ,M+H2C13,1,0.08333333333333333,M+2Na-H,1,0.08333333333333333,M+H,2,0.16666666666666666,M+NH4,2,0.16666666666666666,M+NaC13,2,0.16666666666666666,M+HC13,2,0.16666666666666666,M+Na,2,0.16666666666666666
StdMix2_66, 2-Oxoglutarate, C5H6O5,146.02152330334002, ,M+H,7,1.0
StdMix2_67, N-Acetylglutamine, C7H12N2O4,188.07970688456, ,M+H2C13,1,0.022727272727272728,M+KC13,1,0.022727272727272728,M+2Na-H,1,0.022727272727272728,M+K,1,0.022727272727272728,M+H,35,0.7954545454545454,M+NaC13,1,0.022727272727272728,M+HC13,3,0.06818181818181818,M+Na,1,0.022727272727272728
StdMix2_68, (S)-Malate, C4H6O5,134.02152330334002, ,M+ACN+H,1,0.14285714285714285,M+H,6,0.8571428571428571
StdMix2_69, Folate, C19H19N7O6,441.13968137994, ,M+HC13,1,0.2,M+H,2,0.4,M+ACN+2H,2,0.4
StdMix2_7, Pantothenate, C9H17NO5,219.11067266212, ,M+HC13,3,0.23076923076923078,M+H2C13,1,0.07692307692307693,M+Na,1,0.07692307692307693,M+NaC13,2,0.15384615384615385,M+H,6,0.46153846153846156
StdMix2_70, D-Ribose, C5H10O5,150.05282343189998, ,M+H,22,1.0
StdMix2_71, FMN, C17H21N4O9P,456.1046148068, ,M+H,2,1.0
StdMix2_72, Orotidine, C10H12N2O8,288.05936537296, ,M+H,1,1.0
StdMix2_73, allantoin, C4H6N4O3,158.0439900801, ,M+CH3OH+H,1,0.030303030303030304,M+H,29,0.8787878787878788,M+HC13,3,0.09090909090909091
StdMix2_74, N-Acetylneuraminate, C11H19NO9,309.1059812148, ,M+H,5,1.0
StdMix2_75, L-Gulono-1_4-lactone, C6H10O6,178.04773805399998, ,M+H,7,1.0
StdMix2_76, dUMP, C9H13N2O8P,308.0409519171, ,M+2Na-H,1,0.1,M+Na,1,0.1,M+NaC13,1,0.1,M+H,7,0.7
StdMix2_77, sucrose, C12H22O11,342.11621155017997, ,M+K,1,0.3333333333333333,M+H,2,0.6666666666666666
StdMix2_78, D-Glucuronolactone, C6H8O6,176.03208798972, ,M+2Na-H,2,0.09523809523809523,M+HC13,1,0.047619047619047616,M+H,18,0.8571428571428571
StdMix2_79, dIMP, C10H13N4O7P,332.05218530548, ,M+Na,1,0.2,M+H,4,0.8
StdMix2_8, thymine, C5H6N2O2,126.04292744752, ,M+HC13,2,0.18181818181818182,M+H,9,0.8181818181818182
StdMix2_80, sn-Glycerol 3-phosphate, C3H9O6P,172.01367453386, ,M+Na,1,0.07692307692307693,M+H+Na,1,0.07692307692307693,M+H,11,0.8461538461538461
StdMix2_81, GMP, C10H14N5O8P,363.05799896496, ,M+HC13,1,0.25,M+H,3,0.75
StdMix2_82, D-Erythrose 4-phosphate, C4H9O7P,200.00858915596, ,M+ACN+H,1,0.1,M+H,9,0.9
StdMix2_83, DL-Glyceraldehyde 3-phosphate, C3H7O6P,169.99802446958, ,M+H,7,1.0
StdMix2_84, 3-Phospho-D-glycerate, C3H7O7P,185.99293909168, 
StdMix2_85, citrate, C6H8O7,192.02700261182, ,M+NH4,1,0.125,M+H,7,0.875
StdMix2_86, NADP+, C21H28N7O17P3,743.0754520483001, 
StdMix2_87, GDP, C10H15N5O11P2,443.02432937540004, 
StdMix2_88, UDP-glucose, C15H24N2O17P2,566.05502038154, 
StdMix2_89, 2-Deoxy-D-glucose, C6H12O5,164.06847349618, ,M+H,7,1.0
StdMix2_9, Uracil, C4H4N2O2,112.02727738323999, ,M+ACN+H,1,0.16666666666666666,M+HC13,1,0.16666666666666666,M+H,4,0.6666666666666666
StdMix2_90, D-Threose, C4H8O4,120.04225874552, ,M+H,2,1.0
StdMix2_91, (R)-Lactate, C3H6O3,90.03169405914, ,M+H,2,1.0
StdMix2_92, Oxalate, C2H2O4,89.99530855268, ,M+H,1,1.0
StdMix2_93, GTP, C10H16N5O14P3,522.99065978584, 
StdMix2_94, CTP, C9H16N3O14P3,482.98451177536003, 
StdMix2_95, Acetyl-CoA, C23H38N7O17P3S,809.1257730597001, 
StdMix2_96, ATP, C10H16N5O13P3,506.99574516374, 
